Year,Mode,Measure,Trade Type,Value
2020,Rail,Billions of U.S. Dollars,Imports,98.445477911
2020,Pipeline,Billions of U.S. Dollars,Imports,41.611181171
2020,Other/unknown,Billions of U.S. Dollars,Imports,109.588116200
2020,Air,Billions of U.S. Dollars,Imports,707.288057858
2020,Water,Billions of U.S. Dollars,Exports,510.882750943
2020,Truck,Billions of U.S. Dollars,Exports,315.923594857
2020,"Total, all modes",Billions of U.S. Dollars,Exports,1428.51827941
2020,Rail,Billions of U.S. Dollars,Exports,49.973133797
2020,Pipeline,Billions of U.S. Dollars,Exports,11.501548542
2020,Other/unknown,Billions of U.S. Dollars,Exports,86.226656266
2020,Air,Billions of U.S. Dollars,Exports,454.010595005
2020,Water,Millions of Short Tons,Total trade,1474.022754716
2020,Truck,Millions of Short Tons,Total trade,220.694112923
2020,"Total, all modes",Millions of Short Tons,Total trade,2109.131454675
2020,Rail,Millions of Short Tons,Total trade,175.607081424
2020,Pipeline,Millions of Short Tons,Total trade,217.011952919
2020,Other/unknown,Millions of Short Tons,Total trade,13.812673703
2020,Air,Millions of Short Tons,Total trade,7.982878991
2020,Water,Millions of Short Tons,Imports,598.460195095
2020,Truck,Millions of Short Tons,Imports,121.981496362
2020,"Total, all modes",Millions of Short Tons,Imports,1011.126206639
2020,Rail,Millions of Short Tons,Imports,102.608289708
2020,Pipeline,Millions of Short Tons,Imports,179.763041257
2020,Other/unknown,Millions of Short Tons,Imports,3.458212817
2020,Air,Millions of Short Tons,Imports,4.854971400
2020,Water,Millions of Short Tons,Exports,875.562559621
2020,Truck,Millions of Short Tons,Exports,
2020,"Total, all modes",Millions of Short Tons,Exports,1098.005248037
2020,Rail,Millions of Short Tons,Exports,
2020,Pipeline,Millions of Short Tons,Exports,
2020,Other/unknown,Millions of Short Tons,Exports,
2020,Air,Millions of Short Tons,Exports,3.127907591
2021,Water,Billions of U.S. Dollars,Total trade,1885.847809029
2021,Truck,Billions of U.S. Dollars,Total trade,758.090657351
2021,"Total, all modes",Billions of U.S. Dollars,Total trade,4585.410894287
2021,Rail,Billions of U.S. Dollars,Total trade,170.120591686
2021,Pipeline,Billions of U.S. Dollars,Total trade,87.581959873
2021,Other/unknown,Billions of U.S. Dollars,Total trade,327.59517417
2021,Air,Billions of U.S. Dollars,Total trade,1356.174702178
2021,Water,Billions of U.S. Dollars,Imports,1250.901644436
2021,Truck,Billions of U.S. Dollars,Imports,412.350036148
2021,"Total, all modes",Billions of U.S. Dollars,Imports,2831.110526625
2021,Rail,Billions of U.S. Dollars,Imports,109.225281164
2021,Pipeline,Billions of U.S. Dollars,Imports,67.951933865
2021,Other/unknown,Billions of U.S. Dollars,Imports,185.014851337
2021,Air,Billions of U.S. Dollars,Imports,805.666779675
2021,Water,Billions of U.S. Dollars,Exports,634.946164593
2021,Truck,Billions of U.S. Dollars,Exports,345.740621203
2021,"Total, all modes",Billions of U.S. Dollars,Exports,1754.300367662
2021,Rail,Billions of U.S. Dollars,Exports,60.895310522
2021,Pipeline,Billions of U.S. Dollars,Exports,19.630026008
2021,Other/unknown,Billions of U.S. Dollars,Exports,142.580322833
2021,Air,Billions of U.S. Dollars,Exports,550.507922503
2021,Water,Millions of Short Tons,Total trade,1589.551090878
2021,Truck,Millions of Short Tons,Total trade,254.924507556
2021,"Total, all modes",Millions of Short Tons,Total trade,2322.007494894
2021,Rail,Millions of Short Tons,Total trade,196.057552067
2021,Pipeline,Millions of Short Tons,Total trade,255.493965273
2021,Other/unknown,Millions of Short Tons,Total trade,15.653042305
2021,Air,Millions of Short Tons,Total trade,10.327336815
2021,Water,Millions of Short Tons,Imports,671.326181998
2021,Truck,Millions of Short Tons,Imports,121.502249417
2021,"Total, all modes",Millions of Short Tons,Imports,1069.939050684
2021,Rail,Millions of Short Tons,Imports,94.358697488
2021,Pipeline,Millions of Short Tons,Imports,173.554180514
2021,Other/unknown,Millions of Short Tons,Imports,3.040651633
2021,Air,Millions of Short Tons,Imports,6.157089635
2021,Water,Millions of Short Tons,Exports,918.224908880
2021,Truck,Millions of Short Tons,Exports,
2021,"Total, all modes",Millions of Short Tons,Exports,1252.068444209
2021,Rail,Millions of Short Tons,Exports,
2021,Pipeline,Millions of Short Tons,Exports,
2021,Other/unknown,Millions of Short Tons,Exports,
2021,Air,Millions of Short Tons,Exports,4.170247180
2022,Water,Billions of U.S. Dollars,Total trade,2281.32521619
2022,Truck,Billions of U.S. Dollars,Total trade,947.927
2022,Rail,Billions of U.S. Dollars,Total trade,210.23
2022,Pipeline,Billions of U.S. Dollars,Total trade,149.158
2022,Other/unknown,Billions of U.S. Dollars,Total trade,60.624
2022,Air,Billions of U.S. Dollars,Total trade,1463.412754953
2022,Water,Billions of U.S. Dollars,Imports,1468.000516907
2022,Truck,Billions of U.S. Dollars,Imports,517.258
2022,Rail,Billions of U.S. Dollars,Imports,135.178
2022,Pipeline,Billions of U.S. Dollars,Imports,120.541
2022,Other/unknown,Billions of U.S. Dollars,Imports,13.82
2022,Air,Billions of U.S. Dollars,Imports,863.666857376
2022,Water,Billions of U.S. Dollars,Exports,813.324699283
2022,Truck,Billions of U.S. Dollars,Exports,430.669
2022,Rail,Billions of U.S. Dollars,Exports,74.852
2022,Pipeline,Billions of U.S. Dollars,Exports,28.617
2022,Other/unknown,Billions of U.S. Dollars,Exports,46.804
2022,Air,Billions of U.S. Dollars,Exports,599.745897577
2022,Water,Millions of Short Tons,Total trade,1634.573053967
2022,Truck,Millions of Short Tons,Total trade,131.545517
2022,Rail,Millions of Short Tons,Total trade,103.665997
2022,Pipeline,Millions of Short Tons,Total trade,198.461096
2022,Other/unknown,Millions of Short Tons,Total trade,0.220304
2022,Air,Millions of Short Tons,Total trade,10.410272910
2022,Water,Millions of Short Tons,Imports,669.031046752
2022,Truck,Millions of Short Tons,Imports,131.545517
2022,Rail,Millions of Short Tons,Imports,103.665997
2022,Pipeline,Millions of Short Tons,Imports,198.461096
2022,Other/unknown,Millions of Short Tons,Imports,0.220304
2022,Air,Millions of Short Tons,Imports,6.120795305
2022,Water,Millions of Short Tons,Exports,965.542007215
2022,Truck,Millions of Short Tons,Exports,
2022,Rail,Millions of Short Tons,Exports,
2022,Pipeline,Millions of Short Tons,Exports,
2022,Other/unknown,Millions of Short Tons,Exports,
2022,Air,Millions of Short Tons,Exports,4.289477605
